,q_text,answer,q_type
0,《机械设计基础》这本书的作者是谁？,杨可桢，程光蕴，李仲生,2
1,《高等数学》是哪个出版社出版的？,武汉大学出版社,6
2,《线性代数》这本书的出版时间是什么？,2013/12/30,5
3,安德烈是哪个国家的人呢？,摩纳哥,3
4,《线性代数》的isbn码是什么？,978-7-111-36843-4,4
5,《高等数学一（微积分）》是哪一门课的通用教材？,高等数学一（微积分）,6
6,有谁知道万达广场英文怎么说？,amoy wanda plaza,1
7,李明的出生年月日是什么？,1963.1,5
8,小说《韩娱守护力》完结还是连载呢？,连载,1
9,大家知道《夏想》是在哪个网站连载的吗？,潇湘书院,6
10,《大学计算机基础》一共有多少页？,272,4
11,城关镇在中国叫什么？,城关镇[临澧县],3
12,李明的老家是哪里？,青海湟源,3
13,大学计算机基础这本书多少钱啊？,25 元,4
14,李军现在在哪任职，什么职位？,河南省林业厅党组成员、副厅长,2
15,文庙在中国称为什么,文庙,1
16,杨明是什么少数民族的人,苗族,6
17,有一本叫《毛泽东》的书是怎样装订的,平装(无盘),1
18,西游记属于什么类型的书呢,奇幻,6
19,王娟是男性还是女性,女,1
20,计算机应用基础是多少开的书,16,4
21,周迅是哪家公司的总裁,安徽龙润农业科技开发有限公司,6
22,博士来拜是什么画,油画，壁画,6
23,李军医生是什么学校毕业的,天津卫生职工医学院,6
24,陈平来自于哪个国家,中国,3
25,万达的总部在哪,重庆市南岸区江南大道8号（重庆万达）/重庆市万州区北滨路（万州万达）,3
26,张宇的性别是什么,女,1
27,城关镇面积有多大,134.27平方公里,4
28,城关镇在哪个地区,中国西南,3
29,和平村在哪个省市县镇,山东省微山县南阳镇,3
30,西城社区是什么时候成立的,2006年6月,5
31,王辉是干什么的,广东省广播电影电视局官员,2
32,东创建国主要做什么生意,整车销售、售后服务、配件供应,1
33,茴香中文学名叫什么,茴香,6
34,王军是哪年哪月哪日出生,1962年7月,5
35,丹顶鹤所属什么界,动物界,6
36,王平还用过别的名字吗,原名王惟允，曾用名王明,2
37,有谁知到李军这个人都有什么成就,中国美术学会会员 中国陶瓷协会会员,2
38,tcl是国企还是私企呀,私企,6
39,城关镇的人口规模有多少,5万,4
40,圆锥花序组是什么科植物的特点,石竹科caryophyllaceae,6
41,匆匆那年英文怎样翻译,back in time,1
42,《兄弟》属于哪种小说,图书 > 小说 > 中国当代小说,6
43,刘勇的代表作品有什么,《中国现代作家的宗教文化情结》,6
44,多花秋海棠属于哪个门的植物,被子植物门 angiospermae,6
45,类胡萝卜素是做什么用的,色素,1
46,王军老家在哪,甘肃高台,3
47,命运石之门是哪一种类型的游戏,假想科学adv,6
48,圆锥花序组是哪个目的植物的特点,中央种子目centrospermae,6
49,凤凰山在哪里呀,山西省定襄县,3
50,谁知道夜来香属于哪个纲的植物,双子叶植物纲(magnoliopsida)，又称木兰纲。,6
51,亚历山大一世是哪一天去世的,前323年6月10日,5
52,李明是什么族的人,汉族,6
53,吉字拼音怎样拼,ji zi,1
54,富兰克林县英文怎样说,"franklin county, maine",1
55,香橼的拉丁学名怎样说,citrus?medic?l.,1
56,花园村属于什么行政区类别,乡村,6
57,辣子鸡属于八大菜系中的哪一种,湘菜，辣菜,6
58,圆锥花序组是什么属的植物才有的特点,石头花属gypsophila,6
59,打乒乓球的王皓有多高,179cm,4
60,魔法少女奈叶都在什么地区播出,日本 香港 台湾,3
61,秋日是什么朝代创作的,唐朝,5
62,哈姆雷特是谁导演的,米歇尔·阿米瑞亚德,2
63,李派唱腔的特点是什么,文戏唱腔韵味清醇，武戏武功精湛,1
64,江陵之战是哪一年爆发的,219年,5
65,蜢科又叫什么,虻科,6
66,哺乳动物属于什么界,动物界animalia,6
67,农历三月三是个什么节日,上巳节,5
68,李明在哪里出生的,江苏常熟,3
69,大家知道关山月属于什么体裁吗,诗歌,6
70,长柄船蛆属于什么纲,双壳纲,6
71,金手指是被子植物还是裸子植物,被子植物,6
72,大花组是什么科的植物呢,石竹科 caryophyllaceae [cronquist系统],6
73,你知道哈姆雷特是哪个国家的电影吗,美国,3
74,费尔南多是什么项目的运动员,足球队员,6
75,比较好的福尔摩斯探案全集译者是谁呀,朱莉莉,2
76,打网球的李娜体重有多少,65kg,4
77,大花组属于哪个目,石竹目 caryophyllales [cronquist系统],6
78,《犯罪学》是谁写的,曹立群 任昕,2
79,逸夫小学是九几年创办的,1996年,5
80,影片哈姆雷特的主演是谁,伊桑·霍克，凯尔·麦克拉克伦，比尔·默瑞，列维·施瑞博尔，山姆·夏普德，朱丽娅·斯蒂尔斯,2
81,王辉是哪个学校毕业的,华师大本科,6
82,霸气一词最早出现在哪里,《江宁吴少府宅饯宴序》,6
83,做辣子鸡需要准备什么食材,公鸡，糍粑辣椒，花椒，姜，大葱，大蒜，盐，酱油，味精，料酒，菜籽油,6
84,有人知道文庙面积有多大吗,6647.95平方米,4
85,《兄弟》是哪个国家拍的,中文,3
86,值得珍藏的《红楼梦》全本有哪个出版社出版的,吉林文史出版社,6
87,《心理学与生活》这本书的副标题是什么,教育部心理指导委员会推荐用书,6
88,阿尔法这个游戏有多大啊,114.92mb,4
89,大花组属于哪个属的植物,蝇子草属 silene,6
90,城隍庙地理位置在哪,金华市区明月巷,3
91,哈姆雷特在美国是什么时候上映的,usa 2000年1月24日,5
92,一本大学是什么类型的书啊,985工程 211工程,1
93,《犯罪学》这本书的出版时间是什么时候,2008年3月,5
94,神雕侠侣是什么语的电视剧,华语,6
95,《因为我爱你》是怎样装帧的,平装,1
96,城关镇在哪个省哪个市,中国 湖南省,3
97,大花组的植物主要分布在我国哪里,我国主要分布在辽宁、新疆等地。,3
98,边境牧羊犬是什么犬种,灰狼,6
99,玫瑰主要生长在我国那些地区,江苏、浙江、福建、山东、四川等地,3
100,《礼物》的发行时间是什么时候,2010年12月,5
101,新的那部神雕侠侣的编剧是谁来着,于正,2
102,谁知道历史上萧皇后本名叫什么,萧皇后,2
103,重庆辣子鸡是什么口味的菜,辣、开胃,1
104,有人知道万达广场在哪吗,佛山市南海区桂城桂澜路东侧,3
105,《犯罪学》的isbn码是什么,9.79E+12,4
106,大花组植物我国有哪几种,我国产2种1亚种。,6
107,我想做棒棒糖蛋糕，需要哪些原料呢,法国奶油 法国果茸 法国番石榴浆,6
108,请问一下城关镇的电话区号是什么,854,4
109,新发村的海拔很高吗，有多少米呀,1700.00米,4
110,离殇是什么意思啊,.离别，逝去（,1
111,有人买过《犯罪学》吗，多少钱啊,￥38.00,4
112,画家何伟的代表作有哪些,《静物》、《西递村》入选全国建筑美术家作品展；1993年油画《秋之语》入选上海93油画展；1994年作品《花卉》、《窗》入选中国浦东首届中华艺术博览会；1995年作品《残阳》,6
113,《幽灵船》是多少开的书,32开,4
114,我想问一下，什么叫红米手机,小米红米手机,1
115,哈姆雷特的对白原音是什么语的,英语,6
116,有谁了解自热米饭是不是含防腐剂,否,1
117,张凯有一个绰号叫什么来着,幽灵,2
118,谁能告诉我一下花衣的注音,ㄏㄨㄚ ㄧ,1
119,小时候这首歌原唱是谁,南拳妈妈,2
120,谁知道橡树湾的开发商是哪家啊,华润置地（上海）有限公司,6
121,东北大学的简称是什么,nu,1
122,鑫威kw9000es是个什么产品,ipsan/nas一体化存储,1
123,有没有城关镇的同志啊，你们那的人口有多少,7.1万人（2008年）,4
124,《犯罪学》一共有多少页,268,4
125,城关镇的面积有多大,44.41平方公里,4
126,有没有认识刘丹的，请问一下她有多高啊,166cm,4
127,哈姆雷特片长多少,112分钟,4
128,古文中罗罗怎样理解,1. 疏朗放诞。,1
129,陈佳是什么星座的,天蝎,6
130,福特野马车是什么牌子的,福特ford,6
131,东区的人口密度大概是多少,"2,300/平方公里（5,900/平方英里）",4
132,干酪菌属属于什么亚纲,同担子菌亚纲,6
133,谁知道黑大咽齿鲷的英文名怎样说,negros wrasse,1
134,王玲的信仰是什么,中共党员,6
135,呃……谁知道嘿咻的拼音怎样写,hei xiu,1
136,张敏老家是哪的,河北武安,3
137,大花组的二名法是什么,silene sect. elisanthe (fenzl) chater et walter,6
138,斯普林菲尔德时间是按那个时区算的,美国东部标准时间（utc-5）,3
139,山羊是属于哪个亚纲的,真兽亚纲,6
140,郑州驱逐舰型号是什么有人知道吗,国产052c型,6
141,历史上的刘瑜是哪个年代的人,金,5
142,腬这个字是什么意思啊,优质肉。 ?肥美。 盛。 面色和柔的样子。,1
143,《红楼梦》的导演是哪位,胡雪扬,2
144,海德公园附近的楼盘叫什么名字,海德公园,3
145,我想问一下文庙在哪个地方啊,湖南省新田县县城龙泉镇立新街,3
146,安乐村地理位置是在哪里,云南省保山市隆阳区瓦窑镇,3
147,有人知道新安镇属于什么行政区吗,乡镇,6
148,《红楼梦》在哪里上映,中国大陆,3
149,我爱你这首歌属于哪张专辑的啊,ep单曲,6
150,谁知道万达广场的面积有多大,53万平方米,4
151,电影《哈姆雷特》是哪年出品的,2000年,5
152,城关镇的位置在哪里,西邻京广铁路、107国道、京珠高速，北邻汤濮铁路、鹤濮高速，安长公路穿境而过。,3
153,月光是谁做的曲,黄戚尔,2
154,游戏仙魔变最新版大小是多少,1479610k,4
155,笑傲江湖是什么语种的电视剧,粤语、普通话,6
156,城关镇的上级行政区是什么,忻城县,3
157,谁知道《红楼梦》的主演都有谁啊,钱惠丽；单仰萍；陈颖；方亚芬,2
158,《红楼梦》是什么时候上映的呀,2005年,5
159,你们知道红楼梦的出品公司是哪家吗,中影集团、荣信达、华录百纳,6
160,文庙里比较有名的景点是什么,大成殿,6
161,卢卡斯是哪支球队的,开拓者,6
162,丹特丽安的书架日文原名叫什么,ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）,6
163,阿灵顿是什么时区的,edt（utc-4）,3
164,张薇政治面貌是党员还是共青团员,中共党员,6
165,城关镇的行政区划代码是什么,451321100,4
